SampleID,Building_Name,Main_Area,Main_Area_short,Main_Area_simplified_for_PERMANOVA,FloorVSnotFloor_for_PERMANOVA,Area_details,Material,Material_simplified,Material_simplified_PERMANOVA,BuildingType
P3_D1,5PP,WomensRestroom_DoorHandle,handle,handle,other,first floor restroom,metal,metal,metal,office
P3_D10,5PP,couch,couch,couch,other,cushion1 ,knitty fabric,cloth,cloth,office
P3_D11,5PP,couch,couch,couch,other,cushion2,knitty fabric,cloth,cloth,office
P3_D12,5PP,blank,blank,blank,other,blank,blank,blank,blank,office
P3_D2,5PP,MensRestroom_DoorHandle,handle,handle,other,first floor restroom,metal,metal,metal,office
P3_D3,5PP,water_fountain,water_fountain,water_fountain,other,button,metal,metal,metal,office
P3_D4,5PP,water_fountain,water_fountain,water_fountain,other,button,metal,metal,metal,office
P3_D5,5PP,garbage_can,garbage_can,garbage_can,other,top_can1,metal,metal,metal,office
P3_D6,5PP,garbage_can,garbage_can,garbage_can,other,top_can2,metal,metal,metal,office
P3_D7,5PP,lounge1 ,lounge1 ,other,other,top,wood,wood,wood,office
P3_D8,5PP,lounge2,lounge2,other,other,top,wood,wood,wood,office
P3_D9,5PP,couch,couch,couch,other,dest top,plastic,plastic,plastic,office
P4_A1,3PP,stair_handrail,stair_handrail,stair_handrail,other,bottom,metal,metal,metal,office
P4_A10,3PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch2,knit fabric,cloth,cloth,office
P4_A11,3PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch3,knit fabric,cloth,cloth,office
P4_A12,3PP,blank,blank,blank,other,blank,blank,blank,blank,office
P4_A2,3PP,stair_handrail,stair_handrail,stair_handrail,other,middle,metal,metal,metal,office
P4_A3,3PP,stair_handrail,stair_handrail,stair_handrail,other,top,metal,metal,metal,office
P4_A4,3PP,elevator_DoorClose,elevator_Button,elevator_Button,other,Doorclose,metal,metal,metal,office
P4_A5,3PP,elevator_callButton,elevator_Button,elevator_Button,other,callButton,metal,metal,metal,office
P4_A6,3PP,elevator_floorButton,elevator_Button,elevator_Button,other,floorButton,metal,metal,metal,office
P4_A7,3PP,elevatorFloor,floor,floor,floor,underButtons,vinyl,plastic,plastic,office
P4_A8,3PP,elevatorFloor,floor,floor,floor,middlePart,vinyl,plastic,plastic,office
P4_A9,3PP,couch_Rarmrest,couch_Rarmrest,couch,other,couch1,knit fabric,cloth,cloth,office
